ingredient,receipt
canned tomatoes,Pasta With Roasted Vegetables & Greek Olives
basil,Pasta With Roasted Vegetables & Greek Olives
½ garlic,Pasta With Roasted Vegetables & Greek Olives
¼ greek olives,Pasta With Roasted Vegetables & Greek Olives
seasoning,Pasta With Roasted Vegetables & Greek Olives
ground beef,Pasta With Roasted Vegetables & Greek Olives
lemon juice,Pasta With Roasted Vegetables & Greek Olives
mushrooms,Pasta With Roasted Vegetables & Greek Olives
onion,Pasta With Roasted Vegetables & Greek Olives
½ oregano,Pasta With Roasted Vegetables & Greek Olives
¼ parmesan cheese,Pasta With Roasted Vegetables & Greek Olives
vegetables,Pasta With Roasted Vegetables & Greek Olives
¼ of sun tomatoes,Pasta With Roasted Vegetables & Greek Olives
basil,Greek Shrimp Orzo
feta cheese,Greek Shrimp Orzo
green onions,Greek Shrimp Orzo
lemon juice,Greek Shrimp Orzo
orzo pasta),Greek Shrimp Orzo
parsley,Greek Shrimp Orzo
shrimp,Greek Shrimp Orzo
asparagus spears,Greek Inspired Spring Omelet
egg whites,Greek Inspired Spring Omelet
feta cheese,Greek Inspired Spring Omelet
green onions,Greek Inspired Spring Omelet
tzatziki,Greek Inspired Spring Omelet
cherry tomatoes,Greek Inspired Spring Omelet
dijon mustard,Gyros
garlic,Gyros
ground cumin,Gyros
ground fenugreek,Gyros
ground lamb,Gyros
onion,Gyros
oregano,Gyros
parsley,Gyros
individual pita breads,Gyros
yogurt,Gyros
red wine vinegar,Gyros
tomato,Gyros
eggplants,Gluten-Free Lamb Moussaka
ground lamb,Gluten-Free Lamb Moussaka
garlic,Gluten-Free Lamb Moussaka
canned tomatoes,Gluten-Free Lamb Moussaka
parsley,Gluten-Free Lamb Moussaka
eggs,Gluten-Free Lamb Moussaka
fl lowfat yogurt,Gluten-Free Lamb Moussaka
parmesan cheese,Gluten-Free Lamb Moussaka
feta cheese,Easy Lemon Feta Greek Yogurt Dip
garlic clove,Easy Lemon Feta Greek Yogurt Dip
lemon juice,Easy Lemon Feta Greek Yogurt Dip
lemon zest,Easy Lemon Feta Greek Yogurt Dip
greek yogurt,Easy Lemon Feta Greek Yogurt Dip
pepper flakes,Easy Lemon Feta Greek Yogurt Dip
baking powder,Greek Style Honey and Pistachio Cake
eggs,Greek Style Honey and Pistachio Cake
oz. greek yogurt,Greek Style Honey and Pistachio Cake
.5 oz. ground almonds,Greek Style Honey and Pistachio Cake
.8 fl. oz. honey,Greek Style Honey and Pistachio Cake
juice of lemon,Greek Style Honey and Pistachio Cake
juice of orange,Greek Style Honey and Pistachio Cake
lemon zest,Greek Style Honey and Pistachio Cake
orange zest,Greek Style Honey and Pistachio Cake
oz. pistachios,Greek Style Honey and Pistachio Cake
oz. semolina,Greek Style Honey and Pistachio Cake
scallions,Spanakopita Cups
spinach,Spanakopita Cups
dill,Spanakopita Cups
eggs,Spanakopita Cups
feta cheese,Spanakopita Cups
phyllo dough,Spanakopita Cups
butter,Spanakopita Cups
breadcrumbs,Spanakopita Cups
lamb,Marinated Souvlaki
onion,Marinated Souvlaki
carrot,Marinated Souvlaki
celery,Marinated Souvlaki
garlic clove,Marinated Souvlaki
pch thyme,Marinated Souvlaki
pch rosemary,Marinated Souvlaki
pch coriander,Marinated Souvlaki
pch cloves,Marinated Souvlaki
bay leaf,Marinated Souvlaki
parsley,Marinated Souvlaki
lemon zest,Marinated Souvlaki
lemon juice,Marinated Souvlaki
wine,Marinated Souvlaki
