index,value
order30,salty snack
order30,waffles
order30,cake bar
order30,shopping bags
order30,soda
order30,curd
order31,ham
order31,frankfurter
order31,waffles
order31,frozen fish
order31,curd
order31,beer
order31,juice
order31,milk
order31,sugar
order31,eggs
order31,butter
order31,bread
order31,cereals
order31,whipped/sour cream
order31,vegetable
order31,yogurt
order31,fruit
order31,frozen meals
order31,cheese
order32,zwieback
order32,cake bar
order32,shopping bags
order32,bread
order32,cheese
order32,curd
order32,specialty bar
order33,vegetable
order33,dessert
order33,milk
order33,berries
order33,beef
order33,bread
order33,cheese
order34,sausage
order34,vegetable
order34,dish cleaner
order34,beverages
order34,fruit
order34,milk
order34,cookware
order34,rolls
order34,beef
order34,cheese
order34,whipped/sour cream
order35,oil
order35,cling film/bags
order35,fruit
order35,frankfurter
order35,baking powder
order35,onions
order35,tea
order35,meat
order36,vegetable
order36,dessert
order36,beverages
order36,fruit
order36,milk
order36,rolls
order36,bread
order36,bottled water
order36,cheese
order36,tea
order36,curd
order36,meat
order37,sausage
order37,beverages
order37,rolls
order37,beef
order37,spices
order37,house keeping products
order37,flower (seeds)
order37,cheese
order38,sausage
order38,vegetable
order38,salty snack
order38,rolls
order38,frankfurter
order38,butter
order38,cheese
order38,curd
order38,bakery
order39,vegetable
order39,frozen dessert
order39,dessert
order39,yogurt
order39,fruit
order39,milk
order39,sugar
order39,rolls
order39,whipped/sour cream
order39,salt
order39,cosmetics
order39,skin care
order39,napkins
order39,cereals
order39,canned fish
order39,curd
order40,fruit
order40,sugar
order40,newspapers
order40,pastry
order40,candy
order40,margarine
order40,curd
order41,vegetable
order41,milk
order41,beer
order41,wine
order41,misc. beverages
order41,soda
order41,bottled water
order41,napkins
order42,vegetable
order42,frozen dessert
order42,milk
order42,beer
order42,beef
order42,frankfurter
order42,butter
order42,grapes
order42,bottled water
order42,meat
order43,sausage
order43,yogurt
order43,fruit
order43,milk
order43,rolls
order43,cosmetics
order43,bottled water
order43,cheese
order43,curd
order44,sausage
order44,vegetable
order44,yogurt
order44,chocolate
order44,fruit
order44,milk
order44,rolls
order44,soda
order44,newspapers
order44,bottled water
order45,sausage
order45,rolls
order45,frankfurter
order45,spices
order45,butter
order45,margarine
order45,whipped/sour cream
order46,vegetable
order46,fruit
order46,milk
order46,sugar
order46,soups
order46,eggs
order46,cosmetics
order46,soda
order46,napkins
order46,onions
order46,tea
order47,vegetable
order47,fruit
order47,milk
order47,flour
order47,cosmetics
order47,herbs
order47,whipped/sour cream
order48,vegetable
order48,fruit
order48,milk
order48,eggs
order48,bread
order48,baking powder
order48,cheese
order48,margarine
order48,waffles
order49,vegetable
order49,yogurt
order49,milk
order49,rolls
order49,bread
order49,bottled water
order49,juice
order49,pastry
order49,margarine
order49,curd
order49,meat
order50,vegetable
order50,dessert
order50,yogurt
order50,fruit
order50,milk
order50,waffles
order50,rolls
order50,pasta
order50,soda
order50,chicken
order50,whipped/sour cream
order51,vegetable
order51,fruit
order51,milk
order51,sugar
order51,rolls
order51,frankfurter
order51,soda
order51,onions
order52,vegetable
order52,yogurt
order52,milk
order52,eggs
order52,misc. beverages
order52,bread
order52,mustard
order52,bottled water
order52,curd
order53,vegetable
order53,oil
order53,milk
order53,beer
order53,newspapers
order53,chicken
order53,bottled water
order53,napkins
order53,vinegar
order54,vegetable
order54,yogurt
order54,milk
order54,flour
order54,cheese
order54,margarine
order54,whipped/sour cream
order54,meat
order55,sausage
order55,vegetable
order55,oil
order55,dessert
order55,pork
order55,yogurt
order55,soda
order56,vegetable
order56,dessert
order56,yogurt
order56,rolls
order56,beer
order56,beef
order56,frankfurter
order56,cosmetics
order56,mustard
order56,napkins
order56,cheese
order56,curd
order57,sausage
order57,vegetable
order57,yogurt
order57,fruit
order57,milk
order57,abrasive cleaner
order57,chicken
order57,cleaner
order57,candy
order58,sausage
order58,yogurt
order58,fruit
order58,beer
order58,soda
order58,coffee
order58,dishes
order59,vegetable
order59,detergent
order59,chocolate
order59,milk
order59,berries
order59,roll products
order59,misc. beverages
order59,cheese
order59,margarine
order59,curd
order60,vegetable
order60,chocolate
order60,rolls
order60,ham
order60,misc. beverages
order60,soda
order60,cheese
order60,candy
order60,whipped/sour cream
order61,beverages
order61,fruit
order61,pet care
order61,soda
order61,juice
order61,cheese
order61,waffles
order62,vegetable
order62,dish cleaner
order62,zwieback
order62,milk
order62,frankfurter
order62,curd
order62,specialty bar
order63,beverages
order63,rolls
order63,chewing gum
order63,cake bar
order63,soda
order63,cheese
order63,pastry
order63,curd
order64,sausage
order64,pork
order64,fruit
order64,frankfurter
order64,butter
order64,bread
order64,cheese
order65,sausage
order65,vegetable
order65,yogurt
order65,frankfurter
order65,napkins
order65,pastry
order65,whipped/sour cream
order66,vegetable
order66,detergent
order66,milk
order66,berries
order66,cat food
order66,cheese
order66,curd
order66,specialty bar
order67,fruit
order67,milk
order67,waffles
order67,rolls
order67,ham
order67,cosmetics
order67,pastry
order67,whipped/sour cream
order68,vegetable
order68,cling film/bags
order68,specialty fat
order68,cheese
order68,butter
order68,pasta
order68,syrup
order68,napkins
order68,onions
order68,candy
order68,whipped/sour cream
order69,salty snack
order69,frozen meals
order69,dog food
order69,shopping bags
order69,pasta
order69,cheese
order69,meat
order70,sausage
order70,vegetable
order70,liver loaf
order70,shopping bags
order70,soap
order70,cheese
order70,pastry
order71,yogurt
order71,milk
order71,sugar
order71,rolls
order71,shopping bags
order71,coffee
order71,juice
order71,cheese
order71,bakery
order72,sausage
order72,milk
order72,ham
order72,soda
order72,newspapers
order72,softener
order72,meat
order73,vegetable
order73,oil
order73,milk
order73,rolls
order73,beef
order73,cosmetics
order73,newspapers
order73,coffee
order73,margarine
order73,dental care
order74,vegetable
order74,pork
order74,milk
order74,rolls
order74,beef
order74,shopping bags
order74,margarine
order74,meat
order75,vegetable
order75,ice cream
order75,salty snack
order75,milk
order75,berries
order75,juice
order75,specialty bar
order76,sausage
order76,vegetable
order76,yogurt
order76,rolls
order76,roll products
order76,whipped/sour cream
order76,curd
order77,vegetable
order77,frozen dessert
order77,fruit
order77,milk
order77,bottled water
order77,rice
order77,cheese
order78,sausage
order78,vegetable
order78,photo/film
order78,rolls
order78,frankfurter
order78,liver loaf
order78,bread
order78,cosmetics
order78,curd
order79,pork
order79,milk
order79,rolls
order79,rum
order79,butter
order79,cosmetics
order79,onions
order79,pastry
order80,dessert
order80,chocolate
order80,fruit
order80,milk
order80,ham
order80,whipped/sour cream
order80,cosmetics
order80,bread
order80,coffee
order80,cheese
order80,curd
order80,bakery
order81,sausage
order81,vegetable
order81,turkey
order81,rolls
order81,organic products
order81,beef
order81,eggs
order81,flour
order81,misc. beverages
order81,napkins
order81,rice
order82,vegetable
order82,frozen dessert
order82,beer
order82,misc. beverages
order82,bread
order82,soda
order82,bottled water
order82,juice
order82,cheese
order83,vegetable
order83,fruit
order83,wine
order83,house keeping products
order83,shopping bags
order83,coffee
order83,bottled water
order83,candy
order84,vegetable
order84,oil
order84,dish cleaner
order84,pork
order84,chocolate
order84,milk
order84,berries
order84,mayonnaise
order84,beef
order84,cat food
order84,soda
order84,coffee
order84,mustard
order84,napkins
order84,newspapers
order84,frozen fish
order85,vegetable
order85,fruit
order85,sugar
order85,milk
order85,berries
order85,cosmetics
order85,juice
order86,vegetable
order86,yogurt
order86,salty snack
order86,milk
order86,bottled water
order86,juice
order86,margarine
order87,vegetable
order87,chocolate
order87,fruit
order87,milk
order87,wine
order87,honey
order87,coffee
order87,baking powder
order88,fruit
order88,milk
order88,rolls
order88,frankfurter
order88,eggs
order88,cosmetics
order88,shopping bags
order88,napkins
order88,cheese
order88,curd
order89,sausage
order89,yogurt
order89,milk
order89,bread
order89,soda
order89,bottled water
order89,cereals
order90,vegetable
order90,kitchen towels
order90,candles
order90,frozen meals
order90,beer
order90,soda
order90,curd
order91,yogurt
order91,fruit
order91,milk
order91,beef
order91,whipped/sour cream
order91,herbs
order91,cheese
order91,curd
order92,vegetable
order92,oil
order92,eggs
order92,roll products
order92,cosmetics
order92,margarine
order92,meat
order93,frozen dessert
order93,yogurt
order93,pork
order93,fruit
order93,milk
order93,frozen meals
order93,eggs
order93,juice
order93,baking powder
order93,cereals
order93,cheese
order93,soap
order93,curd
order94,vegetable
order94,fruit
order94,milk
order94,berries
order94,butter
order94,cosmetics
order94,bottled water
order94,napkins
order94,rubbing alcohol
order95,sausage
order95,vegetable
order95,yogurt
order95,fruit
order95,milk
order95,rolls
order95,frankfurter
order95,pastry
order95,candy
order96,vegetable
order96,pork
order96,fruit
order96,milk
order96,sugar
order96,bread
order96,soda
order96,bottled water
order96,curd
order97,sausage
order97,vegetable
order97,yogurt
order97,chocolate
order97,milk
order97,rolls
order97,beer
order97,soda
order97,newspapers
order97,meat
order98,yogurt
order98,fruit
order98,seasonal products
order98,rolls
order98,beer
order98,bread
order98,bottled water
order98,curd
order99,oil
order99,detergent
order99,fruit
order99,rolls
order99,beef
order99,newspapers
order99,margarine
order99,curd
order99,specialty bar
order100,vegetable
order100,yogurt
order100,fruit
order100,milk
order100,rolls
order100,beef
order100,skin care
order100,bottled water
order101,kitchen towels
order101,fruit
order101,sugar
order101,berries
order101,beef
order101,bread
order101,coffee
order102,vegetable
order102,fruit
order102,milk
order102,whipped/sour cream
order102,butter
order102,misc. beverages
order102,herbs
order102,curd
order103,oil
order103,frozen dessert
order103,potted plants
order103,milk
order103,rolls
order103,beef
order103,flour
order103,herbs
order103,bread
order103,coffee
order103,meat
order104,oil
order104,Instant food products
order104,milk
order104,soups
order104,beer
order104,ketchup
order104,cosmetics
order104,newspapers
order104,coffee
order104,canned fish
order104,meat
order105,vegetable
order105,fruit
order105,milk
order105,rolls
order105,beef
order105,bottled water
order105,juice
order105,cheese
order105,margarine
order106,fruit
order106,milk
order106,rolls
order106,eggs
order106,beef
order106,roll products
order106,juice
order106,pastry
order106,tea
order107,vegetable
order107,cling film/bags
order107,fruit
order107,rum
order107,liquor
order107,grapes
order107,liquor (appetizer)
order107,juice
order107,candy
order108,vegetable
order108,salty snack
order108,milk
order108,beef
order108,abrasive cleaner
order108,shopping bags
order108,bread
order108,pastry
order109,vegetable
order109,chocolate
order109,rolls
order109,misc. beverages
order109,soda
order109,bottled water
order109,candy
order109,waffles
order109,meat
order110,vegetable
order110,meat
order110,fruit
order110,rolls
order110,soda
order110,bottled water
order110,juice
order110,napkins
order110,canned fish
order110,Instant food products
order111,cling film/bags
order111,dish cleaner
order111,soups
order111,beer
order111,herbs
order111,soda
order111,chicken
order111,napkins
order111,whipped/sour cream
order111,meat
order112,vegetable
order112,yogurt
order112,fruit
order112,milk
order112,juice
order112,curd
order112,bakery
order113,vegetable
order113,chocolate
order113,milk
order113,rolls
order113,frankfurter
order113,newspapers
order113,coffee
order113,mustard
order113,soap
order113,waffles
order113,meat
order114,sausage
order114,potted plants
order114,fruit
order114,sugar
order114,candles
order114,coffee
order114,pastry
order114,meat
order115,detergent
order115,milk
order115,cat food
order115,shopping bags
order115,dishes
order115,cheese
order115,margarine
order116,yogurt
order116,milk
order116,sugar
order116,rolls
order116,ham
order116,frankfurter
order116,soda
order116,juice
order116,napkins
order116,pastry
order116,vinegar
order117,milk
order117,bread
order117,pasta
order117,newspapers
order117,bottled water
order117,napkins
order117,margarine
order118,vegetable
order118,yogurt
order118,cosmetics
order118,cheese
order118,cleaner
order118,margarine
order118,curd
order119,rolls
order119,beer
order119,wine
order119,shopping bags
order119,soda
order119,juice
order119,bakery
order120,sausage
order120,vegetable
order120,oil
order120,turkey
order120,yogurt
order120,cosmetics
order120,bread
order120,shopping bags
order121,sausage
order121,vegetable
order121,milk
order121,soda
order121,newspapers
order121,cheese
order121,candy
order121,curd
order122,fruit
order122,frankfurter
order122,instant coffee
order122,ready soups
order122,shopping bags
order122,pastry
order122,margarine
order123,oil
order123,yogurt
order123,fruit
order123,rolls
order123,bottled water
order123,cheese
order123,curd
order124,vegetable
order124,milk
order124,rolls
order124,beef
order124,eggs
order124,butter
order124,meat
order125,vegetable
order125,milk
order125,frankfurter
order125,bread
order125,grapes
order125,soda
order125,bottled water
order125,organic products
order125,margarine
order126,vegetable
order126,frozen dessert
order126,pork
order126,fruit
order126,milk
order126,sugar
order126,rolls
order126,frankfurter
order126,eggs
order126,chicken
order126,baking powder
order126,cheese
order126,whipped/sour cream
order127,pork
order127,milk
order127,beer
order127,beef
order127,eggs
order127,cosmetics
order127,bottled water
order128,vegetable
order128,pork
order128,fruit
order128,frankfurter
order128,cat food
order128,bottled water
order128,onions
order129,fruit
order129,seasonal products
order129,rolls
order129,frankfurter
order129,napkins
order129,baking powder
order129,cheese
order129,whipped/sour cream
order130,vegetable
order130,finished products
order130,ice cream
order130,yogurt
order130,beer
order130,soda
order130,cheese
order131,vegetable
order131,yogurt
order131,fruit
order131,milk
order131,seasonal products
order131,berries
order131,ham
order131,rolls
order131,cake bar
order131,liquor (appetizer)
order131,soda
order131,skin care
order131,chicken
order131,onions
order131,candy
order131,margarine
order131,curd
order132,vegetable
order132,dessert
order132,yogurt
order132,milk
order132,bottled water
order132,margarine
order132,bakery
order133,milk
order133,rolls
order133,eggs
order133,frankfurter
order133,bread
order133,bottled water
order133,flower (seeds)
order133,margarine
order133,meat
order134,yogurt
order134,fruit
order134,rolls
order134,misc. beverages
order134,grapes
order134,soda
order134,female sanitary products
order134,bottled water
order134,shopping bags
order134,candy
order134,margarine
order135,sausage
order135,vegetable
order135,pork
order135,milk
order135,berries
order135,rolls
order135,beef
order135,cat food
order135,butter
order135,newspapers
order135,bottled water
order136,vegetable
order136,detergent
order136,milk
order136,rolls
order136,soups
order136,pasta
order136,soda
order136,baking powder
order136,onions
order136,whipped/sour cream
order137,vegetable
order137,milk
order137,berries
order137,cosmetics
order137,soda
order137,newspapers
order137,bottled water
order137,whipped/sour cream
order138,fruit
order138,milk
order138,rolls
order138,bread
order138,newspapers
order138,juice
order138,margarine
order138,bakery
order139,pork
order139,yogurt
order139,milk
order139,sugar
order139,whipped/sour cream
order139,fish
order139,butter
order139,flour
order139,curd
order140,vegetable
order140,oil
order140,fruit
order140,milk
order140,beer
order140,butter
order140,mustard
order140,bottled water
order140,whipped/sour cream
order141,vegetable
order141,fruit
order141,milk
order141,female sanitary products
order141,herbs
order141,cosmetics
order141,coffee
order141,shopping bags
order142,vegetable
order142,milk
order142,candles
order142,beef
order142,eggs
order142,butter
order142,pasta
order142,coffee
order142,cheese
order143,oil
order143,fruit
order143,milk
order143,candles
order143,rolls
order143,grapes
order143,newspapers
order143,pastry
order143,margarine
order144,vegetable
order144,potted plants
order144,fruit
order144,frozen meals
order144,beef
order144,coffee
order144,juice
order144,cheese
order144,margarine
order144,whipped/sour cream
order144,meat
order145,vegetable
order145,beverages
order145,chocolate
order145,milk
order145,rolls
order145,newspapers
order145,napkins
order145,margarine
order145,meat
order146,yogurt
order146,fruit
order146,milk
order146,rolls
order146,beer
order146,dog food
order146,pasta
order146,mustard
order146,onions
order146,curd
order147,potted plants
order147,milk
order147,nuts/prunes
order147,jam
order147,shopping bags
order147,bread
order147,soda
order148,vegetable
order148,fruit
order148,milk
order148,sugar
order148,wine
order148,butter
order148,flour
order148,soda
order148,coffee
order148,dishes
order148,whipped/sour cream
order149,vegetable
order149,fruit
order149,cheese
order149,rolls
order149,beef
order149,juice
order149,onions
order149,curd
order150,vegetable
order150,dessert
order150,yogurt
order150,milk
order150,berries
order150,wine
order150,fish
order150,coffee
order150,cheese
order151,vegetable
order151,milk
order151,sugar
order151,eggs
order151,instant coffee
order151,newspapers
order151,curd
order152,vegetable
order152,yogurt
order152,chocolate
order152,fruit
order152,milk
order152,berries
order152,butter
order152,napkins
order152,cheese
order152,whipped/sour cream
order153,sausage
order153,vegetable
order153,pork
order153,sugar
order153,rolls
order153,ready soups
order153,bread
order153,cosmetics
order153,newspapers
order153,bottled water
order153,frozen fish
order154,vegetable
order154,beverages
order154,waffles
order154,dishes
order154,cheese
order154,whipped/sour cream
order154,meat
order155,vegetable
order155,fruit
order155,sugar
order155,rolls
order155,rum
order155,butter
order155,abrasive cleaner
order155,chicken
order155,margarine
order155,bakery
order156,milk
order156,berries
order156,shopping bags
order156,juice
order156,organic products
order156,margarine
order156,whipped/sour cream
order157,vegetable
order157,pork
order157,milk
order157,rolls
order157,beer
order157,eggs
order157,soda
order157,chicken
order157,bottled water
order157,juice
order157,whipped/sour cream
order158,vegetable
order158,Instant food products
order158,pork
order158,fruit
order158,milk
order158,nuts/prunes
order158,shopping bags
order158,bread
order158,soda
order158,chicken
order158,juice
order158,cheese
order158,meat
order159,vegetable
order159,yogurt
order159,salty snack
order159,fruit
order159,milk
order159,rolls
order159,beer
order159,beef
order159,shopping bags
order159,herbs
order159,bread
order159,bottled water
order159,cheese
order160,sausage
order160,vegetable
order160,ice cream
order160,dessert
order160,yogurt
order160,milk
order160,rolls
order160,beef
order160,frankfurter
order160,soda
order160,cheese
order161,sausage
order161,vegetable
order161,beverages
order161,fruit
order161,berries
order161,abrasive cleaner
order161,chicken
order161,curd
order162,vegetable
order162,brandy
order162,milk
order162,sugar
order162,dog food
order162,shopping bags
order162,bread
order163,sausage
order163,vegetable
order163,fruit
order163,milk
order163,sugar
order163,berries
order163,ham
order163,baking powder
order163,cheese
order163,pastry
order163,whipped/sour cream
order164,oil
order164,beverages
order164,pork
order164,chocolate
order164,berries
order164,flour
order164,soda
order164,newspapers
order164,whipped/sour cream
order165,vegetable
order165,yogurt
order165,rolls
order165,coffee
order165,bottled water
order165,dishes
order165,onions
order166,milk
order166,beer
order166,soda
order166,newspapers
order166,chicken
order166,bathroom cleaner
order166,meat
order167,vegetable
order167,pork
order167,milk
order167,beer
order167,wine
order167,bread
order167,newspapers
order167,chicken
order167,vinegar
order168,milk
order168,sugar
order168,eggs
order168,shopping bags
order168,soda
order168,bottled water
order168,cheese
order169,vegetable
order169,ice cream
order169,yogurt
order169,fruit
order169,milk
order169,cosmetics
order169,coffee
order169,juice
order169,cheese
order169,pastry
order170,dessert
order170,fruit
order170,milk
order170,frozen meals
order170,popcorn
order170,ham
order170,shopping bags
order170,coffee
order171,milk
order171,flour
order171,misc. beverages
order171,newspapers
order171,coffee
order171,bottled water
order171,cheese
order171,curd
order172,dish cleaner
order172,beer
order172,wine
order172,roll products
order172,bottled water
order172,margarine
order172,curd
order173,yogurt
order173,salty snack
order173,chocolate
order173,ham
order173,beef
order173,eggs
order173,wine
order173,shopping bags
order173,grapes
order173,bread
order173,newspapers
order173,bottled water
order173,juice
order173,pastry
order173,whipped/sour cream
order174,pork
order174,fruit
order174,milk
order174,beer
order174,bread
order174,soda
order174,bakery
order175,sausage
order175,yogurt
order175,fruit
order175,milk
order175,rolls
order175,soda
order175,bottled water
order175,napkins
order176,vegetable
order176,yogurt
order176,milk
order176,butter
order176,shopping bags
order176,cheese
order176,frozen fish
order177,vegetable
order177,turkey
order177,yogurt
order177,rolls
order177,frankfurter
order177,ready soups
order177,pastry
order178,oil
order178,dish cleaner
order178,chocolate
order178,salty snack
order178,milk
order178,sugar
order178,frankfurter
order178,dental care
order178,butter
order178,flour
order178,mustard
order178,rice
order178,curd
order178,meat
order179,vegetable
order179,beverages
order179,milk
order179,sugar
order179,berries
order179,soups
order179,shopping bags
order179,coffee
order180,potted plants
order180,yogurt
order180,milk
order180,berries
order180,rolls
order180,beef
order180,grapes
order180,newspapers
order181,pork
order181,fruit
order181,shopping bags
order181,grapes
order181,soda
order181,napkins
order181,cheese
order182,ice cream
order182,dessert
order182,berries
order182,bottled water
order182,chocolate
order182,beer
order182,juice
order182,milk
order182,butter
order182,pastry
order182,whipped/sour cream
order182,vegetable
order182,potted plants
order182,yogurt
order182,fruit
order182,salt
order182,misc. beverages
order182,grapes
order182,baking powder
order183,vegetable
order183,potted plants
order183,pork
order183,fruit
order183,chewing gum
order183,bread
order183,chicken
order183,whipped/sour cream
order184,dessert
order184,milk
order184,rolls
order184,eggs
order184,bread
order184,coffee
order184,bottled water
order184,onions
order185,vegetable
order185,fruit
order185,rum
order185,eggs
order185,bread
order185,soda
order185,juice
order186,yogurt
order186,fruit
order186,milk
order186,frankfurter
order186,juice
order186,cheese
order186,pastry
order187,vegetable
order187,yogurt
order187,fruit
order187,zwieback
order187,rolls
order187,bread
order187,cheese
order188,vegetable
order188,dessert
order188,yogurt
order188,salty snack
order188,fruit
order188,milk
order188,beer
order188,juice
order189,sausage
order189,vegetable
order189,canned fish
order189,yogurt
order189,chocolate
order189,fruit
order189,milk
order189,berries
order189,soups
order189,eggs
order189,napkins
order189,cheese
order189,pastry
order189,candy
order189,margarine
order189,whipped/sour cream
order190,frankfurter
order190,chicken
order190,chocolate
order190,seasonal products
order190,cocoa drinks
order190,coffee
order190,juice
order190,pork
order190,milk
order190,flour
order190,bread
order190,mustard
order190,pastry
order190,bakery
order190,vegetable
order190,yogurt
order190,salty snack
order190,fruit
order190,mayonnaise
order191,cheese
order191,rolls
order191,beer
order191,frankfurter
order191,butter
order191,coffee
order191,onions
order192,vegetable
order192,oil
order192,dessert
order192,chocolate
order192,mayonnaise
order192,shopping bags
order192,soda
order192,flower (seeds)
order192,waffles
order193,yogurt
order193,pork
order193,salty snack
order193,milk
order193,sugar
order193,waffles
order193,eggs
order193,cocoa drinks
order193,bread
order193,coffee
order193,napkins
order193,baking powder
order193,cheese
order193,candy
order193,whipped/sour cream
order193,curd
order194,vegetable
order194,oil
order194,detergent
order194,vinegar
order194,yogurt
order194,cleaner
order194,fruit
order194,milk
order194,whipped/sour cream
order194,newspapers
order194,coffee
order194,napkins
order194,cheese
order194,pastry
order194,curd
order194,bakery
order195,sausage
order195,detergent
order195,potted plants
order195,seasonal products
order195,frozen meals
order195,eggs
order195,cake bar
order195,house keeping products
order195,shopping bags
order195,cleaner
order195,curd
order196,cling film/bags
order196,chicken
order196,bottled water
order196,rice
order196,softener
order196,napkins
order196,frozen fish
order196,juice
order196,specialty fat
order196,milk
order196,eggs
order196,butter
order196,bread
order196,whipped/sour cream
order196,bakery
order196,vegetable
order196,yogurt
order196,fruit
order196,dog food
order196,cheese
order197,vegetable
order197,yogurt
order197,pork
order197,fruit
order197,sugar
order197,chocolate
order197,flour
order197,bread
order197,organic products
order197,margarine
order198,vegetable
order198,potted plants
order198,yogurt
order198,fruit
order198,seasonal products
order198,shopping bags
order198,herbs
order198,grapes
order198,baking powder
order199,vegetable
order199,berries
order199,rolls
order199,eggs
order199,wine
order199,butter
order199,cosmetics
order199,juice
order199,cheese
order200,vegetable
order200,chocolate
order200,nuts/prunes
order200,cheese
order200,rolls
order200,cream
order200,beef
order200,eggs
order200,shopping bags
order200,grapes
order200,mustard
order200,onions
order200,pastry
order200,dental care
order200,specialty bar
order201,vegetable
order201,potted plants
order201,pork
order201,fruit
order201,milk
order201,ready soups
order201,grapes
order202,vegetable
order202,turkey
order202,yogurt
order202,fruit
order202,milk
order202,rice
order202,cheese
order202,vinegar
order202,margarine
order202,curd
order203,vegetable
order203,yogurt
order203,fruit
order203,milk
order203,beef
order203,eggs
order203,butter
order203,shopping bags
order203,bread
order203,onions
order203,pastry
order203,curd
order204,vegetable
order204,oil
order204,potted plants
order204,salty snack
order204,pasta
order204,cheese
order204,margarine
order205,yogurt
order205,chocolate
order205,sugar
order205,cat food
order205,flour
order205,cosmetics
order205,soda
order205,newspapers
order205,juice
order205,baking powder
order205,napkins
order205,margarine
order205,whipped/sour cream
order206,dessert
order206,chocolate
order206,yogurt
order206,fruit
order206,shopping bags
order206,newspapers
order206,curd
order206,specialty bar
order207,vegetable
order207,yogurt
order207,pork
order207,eggs
order207,herbs
order207,dishes
order207,specialty bar
order208,sausage
order208,vegetable
order208,salty snack
order208,fruit
order208,frozen meals
order208,eggs
order208,grapes
order208,bread
order208,newspapers
order208,cheese
order209,sausage
order209,vegetable
order209,yogurt
order209,fruit
order209,milk
order209,instant coffee
order209,cosmetics
order209,soda
order209,juice
order209,cheese
order209,pastry
order209,whipped/sour cream
order210,yogurt
order210,milk
order210,rolls
order210,shopping bags
order210,grapes
order210,newspapers
order210,juice
order210,cheese
order210,candy
order210,dental care
order211,yogurt
order211,milk
order211,beer
order211,frankfurter
order211,eggs
order211,shopping bags
order211,bread
order211,juice
order211,margarine
order212,vegetable
order212,potted plants
order212,chocolate
order212,milk
order212,ham
order212,frankfurter
order212,wine
order212,butter
order212,bread
